2024-12-25 11:28:01, -6.32, 108.60, 408.95
2024-12-25 11:38:01, 23.83, 131.40, 407.75
2024-12-25 11:48:01, 47.53, 167.80, 411.73
2024-12-25 11:58:01, 48.14, -135.45, 411.29
2024-12-25 12:08:01, 24.98, -98.07, 406.43
2024-12-25 12:18:01, -5.12, -75.07, 407.02
2024-12-25 12:28:01, -34.06, -49.51, 416.28
2024-12-25 12:38:01, -51.43, -3.57, 423.84
2024-12-25 12:48:01, -41.32, 49.49, 420.31
2024-12-25 12:58:01, -14.29, 79.16, 410.81
2024-12-25 13:08:01, 16.12, 101.33, 407.20
2024-12-25 13:18:01, 42.68, 132.17, 410.78
2024-12-25 13:28:01, 51.02, -173.45, 412.10
2024-12-25 13:38:01, 32.23, -129.19, 407.62
2024-12-25 13:48:01, 2.94, -104.30, 405.88
2024-12-25 13:58:01, -26.96, -80.92, 413.43
2024-12-25 14:08:01, -49.06, -41.93, 422.76
2024-12-25 14:18:01, -46.48, 14.42, 422.29
2024-12-25 14:28:01, -22.05, 49.26, 413.14
2024-12-25 14:38:01, 8.19, 71.81, 407.22
2024-12-25 14:48:01, 36.63, 98.58, 409.63
2024-12-25 14:58:01, 51.77, 147.35, 412.43
2024-12-25 15:08:01, 38.86, -161.66, 409.01
2024-12-25 15:18:01, 10.96, -133.62, 405.48
2024-12-25 15:28:01, -19.40, -111.31, 410.73
2024-12-25 15:38:01, -44.86, -78.40, 420.91
2024-12-25 15:48:01, -50.11, -22.76, 423.59
2024-12-25 15:58:01, -29.47, 18.57, 415.75
2024-12-25 16:08:01, 0.14, 42.55, 407.90
2024-12-25 16:18:01, 29.76, 66.64, 408.50
2024-12-25 16:28:01, 50.24, 108.42, 412.23
2024-12-25 16:38:01, 44.54, 164.08, 410.37
2024-12-25 16:48:01, 18.84, -163.30, 405.77
2024-12-25 16:58:01, -11.55, -141.01, 408.43
2024-12-25 17:08:01, -39.27, -112.77, 418.48
2024-12-25 17:18:01, -51.74, -61.58, 424.08
2024-12-25 17:28:01, -36.36, -13.29, 418.36
2024-12-25 17:38:01, -7.90, 13.30, 409.26
2024-12-25 17:48:01, 22.35, 35.90, 407.61
2024-12-25 17:58:01, 46.70, 71.09, 411.57
2024-12-25 18:08:01, 48.86, 127.69, 411.50
2024-12-25 18:18:01, 26.44, 166.36, 406.64
2024-12-25 18:28:01, -3.54, -170.35, 406.73
2024-12-25 18:38:01, -32.71, -145.32, 415.71
